campaign_id,campaign_name,campaign_type,budget,spend,impressions,clicks,leads_generated,conversions,ROI,start_date,end_date
CMP00020,Q4 Email Drive 2026 #20,Email,4492.45,3723.15,13413,313,63,10,1320.69,2024-06-18,2024-09-08
CMP00021,Awareness Webinar Grow 2023 #21,Webinar,17467.95,19465.24,196871,35904,7866,1732,60218.9,2022-03-16,2022-06-03
CMP00022,Q2 LinkedIn Grow 2024 #22,LinkedIn,6401.24,6198.92,51245,384,104,7,435.94,2024-11-12,2025-01-02
CMP00023,Fall Webinar Engage 2026 #23,Webinar,18896.3,18790.68,437101,62558,21737,6328,308165.3,2022-12-25,2023-02-15
CMP00024,Q4 Events Drive 2026 #24,Events,135407.77,83483.97,337336,54923,12557,5309,87731.11,2023-01-19,2023-04-17
CMP00025,Spring Referral Boost 2023 #25,Referral,2489.44,2445.97,309086,24913,7246,1558,332837.37,2023-04-03,2023-04-16
CMP00026,Q1 Webinar Convert 2026 #26,Webinar,4710.31,4257.25,93278,13199,4298,832,240823.7,2024-10-03,2024-10-30
CMP00027,Q3 Email Scale 2026 #27,Email,3990.76,3418.9,54436,1276,438,38,8871.58,2025-11-28,2026-01-24
CMP00028,Summer Organic Maximize 2023 #28,Organic,2055.12,1978.85,323677,16443,3077,537,395183.78,2025-06-23,2025-08-29
CMP00029,ABM Events Accelerate 2023 #29,Events,111852.45,101204.99,479954,90181,14911,3826,55191.9,2022-07-24,2022-10-12
CMP00030,Awareness LinkedIn Boost 2023 #30,LinkedIn,23009.21,14093.3,182470,1752,268,11,,2025-08-30,2025-10-31
CMP00031,Nurture Events Scale 2023 #31,Events,57002.41,40795.52,480110,81410,23153,7533,148081.32,2023-02-17,2023-03-27
CMP00032,Nurture Referral Boost 2024 #32,Referral,1049.16,641.11,70346,7849,943,273,504904.04,2022-04-23,2022-05-22
CMP00033,Awareness LinkedIn Convert 2023 #33,LinkedIn,29826.12,18525.24,245703,1912,297,21,865.59,2024-02-10,2024-05-01
CMP00034,ABM Organic Grow 2023 #34,Organic,1125.69,789.42,11974,569,70,10,,2022-07-06,2022-09-09
CMP00035,Launch Email Drive 2025 #35,Email,11170.13,10306.26,141138,3814,1243,138,12107.74,2022-01-08,2022-03-29
CMP00036,Q1 Organic Boost 2023 #36,Organic,3408.39,2775.21,165326,12064,4253,415,49592.44,2023-03-15,2023-04-09
CMP00037,Retargeting Referral Drive 2026 #37,Referral,3695.85,3475.71,78791,5646,1596,379,150299.97,2022-12-26,2023-03-23
CMP00038,Re-engagement Webinar Scale 2025 #38,Webinar,14146.64,11143.74,314565,44052,10612,1642,81539.77,2022-03-30,2022-06-07
CMP00039,Winter Referral Convert 2024 #39,Referral,9019.42,8848.73,33950,3308,999,367,38317.4,2023-10-12,2023-11-04
CMP00040,Awareness Events Drive 2023 #40,Events,42968.43,42821.38,121107,26536,9295,3950,107607.38,2024-01-20,2024-03-22
CMP00041,Q2 Email Drive 2025 #41,Email,12508.22,9645.09,405395,10926,2873,358,41360.03,2022-12-30,2028-06-17
CMP00042,Q4 Organic Scale 2026 #42,Organic,1481.83,1194.72,418253,32014,12683,1969,1976349.09,2024-09-29,2024-11-24
CMP00043,Awareness Webinar Scale 2023 #43,Webinar,17449.71,13650.58,243111,29439,4452,787,31572.16,2023-03-05,2027-02-10
CMP00044,Summer Google Ads Maximize 2024 #44,Google Ads,15359.45,11775.93,175693,6791,1700,216,24703.16,2023-12-01,2023-12-08
CMP00045,Spring Email Maximize 2026 #45,Email,4215.38,5076.35,53600,1035,153,23,7432.54,2024-05-06,2024-07-06
CMP00046,Q2 Referral Boost 2025 #46,Referral,6136.21,5889.0,65768,7575,2691,884,115869.63,2022-06-24,2022-08-23
CMP00047,Fall Email Engage 2026 #47,Email,11043.31,7945.66,241328,4826,1166,150,14705.22,2025-09-07,2025-10-03
CMP00048,Launch Organic Engage 2023 #48,Organic,2753.54,2056.99,164084,7976,1331,220,100142.47,2025-12-14,2026-02-18
CMP00049,Q1 Webinar Boost 2023 #49,Webinar,6618.27,6596.94,407590,49976,7517,1224,167805.69,2023-09-22,2023-10-20
CMP00050,Q1 Email Scale 2026 #50,Email,7902.96,5854.52,361631,8261,868,78,6149.17,2024-05-11,2024-08-06
CMP00051,Retargeting Organic Accelerate 2023 #51,Organic,2818.58,2784.06,188776,10104,2302,471,117427.41,2024-08-27,2024-10-10
CMP00052,Summer Webinar Convert 2023 #52,Webinar,5362.43,4645.16,385908,55706,11537,1517,172722.59,2024-01-07,2024-03-16
CMP00053,Winter Webinar Maximize 2024 #53,Webinar,3110.19,2773.83,405017,69256,10281,2021,562709.22,2024-05-29,2024-06-10
CMP00054,Q4 Events Accelerate 2023 #54,Events,108454.22,103085.45,261116,39155,13062,5523,55399.77,2025-01-30,2025-03-10
CMP00055,Q2 Organic Accelerate 2024 #55,Organic,1263.73,962.83,105017,7004,2171,304,166621.62,2025-12-11,2026-02-27
CMP00056,ABM Organic Grow 2026 #56,Organic,4266.71,2782.71,349627,25389,2938,522,214104.7,2023-02-11,2023-05-02
CMP00057,Q4 LinkedIn Drive 2026 #57,LinkedIn,33725.78,27529.93,486453,3255,1202,116,4037.47,2025-05-22,2025-08-01
CMP00058,Winter Google Ads Engage 2024 #58,Google Ads,-82004.7,64601.49,247880,8717,1974,200,1173.09,2024-02-08,2024-04-06
CMP00059,Q2 Email Drive 2025 #59,Email,5221.79,4634.67,285480,6572,924,140,,2023-11-29,2024-01-11
CMP00060,Re-engagement Webinar Scale 2023 #60,Webinar,23331.43,21037.71,67078,12567,4867,1089,25584.32,2024-07-11,2024-10-08
CMP00061,Spring LinkedIn Accelerate 2026 #61,LinkedIn,25764.35,17228.57,349244,2407,352,38,712.94,2023-12-03,2024-03-02
CMP00062,ABM Organic Boost 2023 #62,Organic,650.41,621.65,293248,17968,5800,937,1104280.65,2024-12-22,2025-02-19
CMP00063,Q3 Referral Engage 2025 #63,Referral,4211.29,4017.49,347134,31555,12442,1874,281332.76,2025-12-15,2026-01-28
CMP00064,Winter Events Engage 2026 #64,Events,92890.82,65934.66,328738,52689,5326,2011,36998.93,2022-11-04,2023-01-21
CMP00065,Spring Google Ads Maximize 2024 #65,Google Ads,38214.68,25813.21,31231,800,220,23,1166.82,2025-08-02,2025-08-25
CMP00066,Q1 LinkedIn Maximize 2025 #66,LinkedIn,46376.43,41903.63,42777,280,109,7,-35.85,2023-09-23,2023-11-01
CMP00067,ABM Email Accelerate 2026 #67,Email,12173.55,10618.37,144927,3742,699,112,8510.32,2025-03-21,2025-06-15
CMP00068,Winter Organic Engage 2023 #68,Organic,2182.49,1727.05,260623,19670,4169,870,502775.6,2023-08-01,2023-10-15
CMP00069,Q3 Events Accelerate 2026 #69,Events,98538.68,85924.1,64362,9713,3461,972,5704.45,2022-08-05,2022-09-24
CMP00070,Nurture Organic Scale 2023 #70,Organic,2760.35,1973.46,305834,14971,5536,906,520659.7,2022-11-28,2023-01-17
CMP00071,Winter LinkedIn Boost 2025 #71,LinkedIn,-45817.35,30937.34,412542,3258,457,49,935.33,2022-04-23,2022-07-15
CMP00072,Launch LinkedIn Drive 2024 #72,LinkedIn,27396.35,27313.3,162561,947,366,18,613.99,2023-09-30,2023-12-19
CMP00073,Q1 Webinar Engage 2026 #73,Webinar,24511.93,18699.33,452104,73466,8018,2287,122178.99,2025-03-10,2025-06-05
CMP00074,Nurture Organic Maximize 2026 #74,Organic,1363.55,1096.78,204556,10339,2709,349,419808.32,2025-12-27,2026-03-05
CMP00075,Re-engagement Email Boost 2024 #75,Email,2170.08,1479.55,261524,6196,730,83,63759.59,2023-05-15,2023-05-31
CMP00076,Q4 Organic Scale 2024 #76,Organic,3611.71,2670.27,461706,28008,7880,1675,477148.61,2023-08-29,2023-09-24
CMP00077,Q3 Webinar Engage 2023 #77,Webinar,9646.25,9463.62,158285,27418,3192,506,,2024-10-12,2024-12-18
CMP00078,Winter Email Convert 2023 #78,Email,3446.17,3237.91,497955,14682,2218,144,25417.87,2025-02-14,2025-05-15
CMP00079,Q1 Events Drive 2025 #79,Events,176758.74,172297.84,179725,45154,12760,5345,45286.55,2024-04-27,2024-06-20
CMP00080,Summer Events Convert 2023 #80,Events,120107.77,72091.43,41694,7720,2024,519,4376.24,2023-04-11,2023-06-28
CMP00081,Q1 Referral Boost 2025 #81,Referral,6249.81,5406.46,94213,7488,2799,415,56168.81,2023-09-29,2023-11-16
CMP00082,Q1 Google Ads Maximize 2023 #82,Google Ads,96924.74,69199.62,32873,896,353,48,335.24,2025-12-30,2026-02-21
CMP00083,Launch Google Ads Boost 2025 #83,Google Ads,59007.2,56248.95,338311,14124,3068,435,10084.31,2024-02-16,2024-05-02
CMP00084,Q1 Organic Scale 2025 #84,Organic,-4857.38,3284.85,432133,25933,10345,1418,612646.57,2023-12-12,2024-03-08
CMP00085,Q3 Events Accelerate 2026 #85,Events,116412.13,101204.4,312728,69480,26969,10618,60376.58,2023-09-08,2023-10-16
CMP00086,ABM Webinar Accelerate 2024 #86,Webinar,4091.97,2593.25,357355,43526,16372,4404,1858645.57,2024-02-02,2024-02-22
CMP00087,Retargeting Email Drive 2023 #87,Email,7366.46,6491.24,434495,10839,1448,89,5691.98,2025-02-17,2025-04-20
CMP00088,Q4 Webinar Drive 2026 #88,Webinar,17215.14,16933.57,64437,8500,1445,274,7249.37,2023-10-30,2024-01-22
CMP00089,Nurture Organic Grow 2025 #89,Organic,1405.54,873.7,138124,6508,1362,130,221609.57,2022-09-17,2022-11-18
CMP00090,Nurture Webinar Maximize 2026 #90,Webinar,22459.84,17895.66,140951,15431,3364,794,18502.44,2025-12-24,2026-01-12
CMP00091,ABM Referral Accelerate 2025 #91,Referral,2998.33,1871.64,214034,23403,7272,2301,515456.17,2022-04-29,2022-06-28
CMP00092,Spring LinkedIn Maximize 2023 #92,LinkedIn,42928.45,41133.24,152749,1176,307,32,1023.63,2024-05-14,2024-06-30
CMP00093,Q3 LinkedIn Accelerate 2023 #93,LinkedIn,6470.88,4256.22,399707,2853,499,43,7108.67,2025-05-31,2025-07-11
CMP00094,Q1 Webinar Scale 2024 #94,Webinar,11680.77,9279.4,358965,51895,20557,3387,481068.42,2025-03-15,2025-05-11
CMP00095,Q4 Webinar Grow 2026 #95,Webinar,3905.49,3523.85,93851,17454,1940,486,46886.31,2024-09-19,2024-11-24
CMP00096,Q3 Referral Drive 2024 #96,Referral,7313.45,6460.52,390916,42527,6282,1120,129174.45,2022-08-04,2022-10-19
CMP00097,Nurture Webinar Scale 2023 #97,Webinar,14364.22,11310.13,341539,38070,12722,1893,70287.9,2022-10-17,2022-12-22
CMP00098,Retargeting LinkedIn Scale 2024 #98,LinkedIn,32471.45,20488.82,426443,4423,539,51,3252.71,2022-03-23,2022-04-13
CMP00099,Q2 Email Engage 2026 #99,Email,3006.22,2518.9,115151,3310,1192,86,14692.55,2025-05-11,2025-07-31
CMP00100,Awareness Organic Grow 2024 #100,Organic,2886.17,2097.24,114476,8749,1400,198,81159.68,2024-10-23,2025-01-07
CMP00101,ABM Referral Maximize 2026 #101,Referral,7901.12,5829.19,138822,10590,2996,682,95549.09,2023-06-20,2023-09-02
CMP00102,Q3 Google Ads Grow 2024 #102,Google Ads,87831.92,55020.33,101976,3013,1096,92,911.75,2025-07-20,2025-08-30
CMP00103,Spring Events Drive 2025 #103,Events,150507.36,137946.94,435588,98125,17140,2617,22612.18,2025-10-22,2025-12-11
CMP00104,Q4 Webinar Maximize 2024 #104,Webinar,3393.0,3177.88,9480,1098,197,24,10860.2,2022-12-24,2023-01-24
CMP00105,Nurture Webinar Drive 2026 #105,Webinar,18124.82,11626.23,452464,78604,21802,5265,670112.79,2024-04-19,2024-06-19
CMP00106,ABM Email Grow 2025 #106,Email,2031.9,1707.57,289009,7548,867,97,51021.9,2022-08-03,2022-10-04
CMP00107,Spring LinkedIn Drive 2025 #107,LinkedIn,48568.14,31861.33,188848,1946,697,57,958.6,2025-09-28,2025-11-08
CMP00108,Spring Email Convert 2025 #108,Email,11807.74,8882.57,232119,4470,1069,106,14826.76,2022-05-18,2022-08-11
CMP00109,Q1 Referral Boost 2026 #109,Referral,6764.27,6523.22,74481,6965,2715,873,175917.21,2023-06-18,2023-07-14
CMP00110,Re-engagement Google Ads Engage 2025 #110,Google Ads,52725.75,43607.33,435296,18416,5516,372,12481.19,2022-11-09,2023-01-19
CMP00111,Nurture Referral Scale 2023 #111,Referral,2772.81,2183.81,184933,14301,4453,735,139441.83,2023-10-22,2023-12-24
CMP00112,Q1 Referral Maximize 2023 #112,Referral,4273.72,3589.78,197378,15425,3665,1270,441453.37,2023-09-20,2023-12-08
CMP00113,Summer Organic Engage 2026 #113,Organic,4200.81,2631.11,193393,11534,2378,485,89832.53,2022-07-07,2022-09-17
CMP00114,Q4 Referral Boost 2024 #114,Referral,9819.45,8977.65,31161,3508,1316,275,24165.86,2025-03-01,2025-03-20
CMP00115,Q1 Organic Engage 2026 #115,Organic,545.63,491.28,390162,30186,5074,706,754267.81,2024-02-11,2024-02-21
CMP00116,ABM Referral Boost 2024 #116,Referral,8048.27,5931.24,344698,44052,10650,2711,642727.94,2024-04-24,2024-06-21
CMP00117,Q1 Email Accelerate 2023 #117,Email,13050.56,11745.53,304166,8657,2637,380,45298.35,2024-04-23,2024-06-09
CMP00118,Launch Organic Grow 2023 #118,Organic,3893.74,4773.29,344171,20035,4561,763,140019.24,2023-10-12,2023-12-19
CMP00119,Retargeting Events Maximize 2024 #119,Events,45278.95,27728.37,132914,19261,7569,2914,109758.91,2025-11-26,2026-01-17
CMP00120,Retargeting Email Convert 2023 #120,Email,7883.89,6615.3,440876,7942,931,143,10734.69,2025-05-24,2025-08-01
CMP00121,Spring Organic Grow 2023 #121,Organic,3805.53,3801.95,112025,7753,2981,437,158890.37,2024-05-11,2024-06-02
CMP00122,Launch Referral Grow 2026 #122,Referral,8760.5,7059.24,314492,36890,9170,2576,255138.7,2024-06-05,2024-08-26
CMP00123,Winter Referral Drive 2024 #123,Referral,2252.74,2128.74,168082,15066,3481,1209,479517.62,2022-09-29,2022-10-15
CMP00124,Launch Events Drive 2026 #124,Events,108006.92,74994.79,35222,7624,1124,310,4622.88,2022-11-17,2023-02-01
CMP00125,Spring Organic Maximize 2024 #125,Organic,2534.01,1972.89,209803,13870,2962,577,426502.77,2025-04-26,2025-05-09
CMP00126,Q1 Email Convert 2026 #126,Email,9114.97,6144.03,274451,5490,2057,159,29186.93,2022-02-11,2022-04-08
CMP00127,Awareness Events Drive 2026 #127,Events,24523.32,21420.55,253327,51496,12225,4541,126304.98,2024-03-27,2024-05-20
CMP00128,Fall Email Scale 2024 #128,Email,8102.56,6306.02,261962,5651,1995,193,39472.75,2023-09-03,2023-10-19
CMP00129,Spring Email Grow 2023 #129,Email,6010.07,5634.93,426491,12349,3805,385,64541.84,2024-06-26,2024-07-17
CMP00130,Launch Referral Engage 2023 #130,Referral,7120.68,4833.48,71131,7376,1357,451,49459.27,2025-08-14,2025-09-27
CMP00131,ABM Organic Grow 2025 #131,Organic,2838.0,1936.25,304187,21398,5464,1075,302597.83,2022-04-05,2022-06-05
CMP00132,ABM Events Boost 2023 #132,Events,53404.69,39085.81,53710,10806,2406,946,8264.68,2024-11-02,2024-11-13
CMP00133,Q2 Email Drive 2025 #133,Email,9043.47,7122.33,40433,869,190,29,3723.3,2025-03-12,2025-05-26
CMP00134,Q3 LinkedIn Scale 2024 #134,LinkedIn,30524.32,29316.57,384423,3691,915,60,741.6,2025-05-31,2025-07-26
CMP00135,Spring Referral Accelerate 2025 #135,Referral,9410.53,8439.08,38070,3219,1231,329,,2025-03-12,2025-06-05
CMP00136,Nurture Google Ads Engage 2023 #136,Google Ads,68708.72,61498.24,356188,13259,3029,256,3063.57,2025-12-05,2026-01-11
CMP00137,Q4 Referral Convert 2026 #137,Referral,-9129.9,7838.88,327264,36452,10027,1881,,2024-08-31,2024-11-18
CMP00138,Launch Webinar Maximize 2026 #138,Webinar,12434.13,9852.67,17552,3354,609,81,4756.24,2024-07-16,2024-09-15
CMP00139,Spring Email Engage 2025 #139,Email,12707.78,11077.59,166982,3202,1166,81,7526.58,2024-06-25,2024-07-08
CMP00140,Q4 Events Grow 2024 #140,Events,49125.58,34708.72,419545,81644,30117,10332,224681.23,2022-02-01,2022-03-04
CMP00141,Winter Email Maximize 2026 #141,Email,11032.8,7907.78,22480,527,126,16,2125.84,2023-07-03,2023-09-01
CMP00142,Summer Google Ads Convert 2023 #142,Google Ads,78756.03,56365.7,316760,10729,1355,114,1950.92,2022-02-23,2022-05-12
CMP00143,Summer Webinar Grow 2023 #143,Webinar,3769.22,2838.63,267003,32609,4843,1208,368535.93,2024-07-13,2024-09-26
CMP00144,Winter Referral Engage 2024 #144,Referral,8877.11,6592.3,297439,37215,14541,4207,343002.07,2022-08-18,2022-09-04
CMP00145,Summer Webinar Convert 2026 #145,Webinar,5040.35,3386.73,241391,31095,6229,1340,481189.88,2022-12-13,2023-02-10
CMP00146,Summer Webinar Drive 2024 #146,Webinar,15176.67,11696.56,396178,62681,12977,1814,135877.85,2023-08-27,2023-10-12
CMP00147,Launch Events Boost 2024 #147,Events,168679.19,149520.63,417083,102234,22272,6501,46125.89,2024-01-04,2024-02-17
CMP00148,Winter Google Ads Scale 2025 #148,Google Ads,15491.86,13990.96,325420,10303,3269,250,21999.0,2022-03-23,2022-06-19
CMP00149,Q2 Email Convert 2025 #149,Email,12192.62,9372.0,367926,10338,3999,568,88725.81,2025-03-11,2025-05-27
CMP00150,Launch Organic Scale 2025 #150,Organic,1974.13,1659.06,55070,3813,1108,237,101703.38,2023-07-23,2023-09-29
CMP00151,ABM Organic Maximize 2026 #151,Organic,2462.1,1494.42,417247,26186,9815,1232,1080148.91,2023-08-02,2023-09-29
CMP00152,ABM Organic Drive 2026 #152,Organic,2020.19,1787.48,111678,6000,1615,333,253215.82,2023-01-30,2023-04-26
CMP00153,Nurture Events Drive 2023 #153,Events,162575.76,146841.28,436201,71196,18864,7207,,2024-01-12,2024-04-10
CMP00154,Q1 Referral Scale 2024 #154,Referral,5667.58,6562.57,138922,10602,3676,792,132300.53,2023-08-21,2023-10-20
CMP00155,Spring Google Ads Maximize 2025 #155,Google Ads,91101.28,80615.11,232477,8855,2453,165,770.81,2023-03-19,2023-03-27
CMP00156,Fall Referral Convert 2023 #156,Referral,5455.51,4796.39,282738,30226,11550,2935,861608.23,2024-12-30,2025-02-20
CMP00157,ABM Referral Maximize 2024 #157,Referral,9755.03,8886.67,357255,41894,6770,2475,134302.88,2022-04-20,2022-05-06
CMP00158,Q2 Referral Drive 2025 #158,Referral,5191.55,4802.36,293113,21114,8037,1019,123650.41,2024-08-16,2024-09-14
CMP00159,Retargeting Referral Convert 2025 #159,Referral,7455.32,4474.89,321633,27221,3676,1377,337379.05,2022-05-24,2022-07-02
CMP00160,Fall Organic Convert 2023 #160,Organic,3345.47,3147.32,404375,21569,8098,1443,435834.93,2025-08-12,2027-08-31
CMP00161,Launch Email Grow 2026 #161,Email,8035.14,5733.94,408663,9963,1410,92,5155.9,2024-08-03,2024-10-15
CMP00162,Nurture Email Grow 2026 #162,Email,13555.37,10772.56,300081,5602,2033,352,15450.89,2025-06-06,2025-07-07
CMP00163,Summer LinkedIn Convert 2023 #163,LinkedIn,27141.8,26560.53,213544,1221,399,33,1654.12,2025-08-31,2025-11-05
CMP00164,Fall LinkedIn Accelerate 2025 #164,LinkedIn,25875.27,23418.26,194113,1595,267,18,207.47,2023-02-09,2023-03-21
CMP00165,Q3 Webinar Accelerate 2026 #165,Webinar,16683.66,12774.69,345292,41482,9386,1692,171273.68,2025-03-24,2025-05-23
CMP00166,Spring LinkedIn Engage 2024 #166,LinkedIn,46212.45,37006.11,465738,2998,392,38,456.69,2024-11-08,2025-01-12
CMP00167,Launch LinkedIn Maximize 2023 #167,LinkedIn,47321.02,45918.72,328267,2751,690,70,1680.23,2024-12-08,2025-01-22
CMP00168,Q4 Referral Scale 2024 #168,Referral,5580.73,3852.05,252020,26919,8291,1324,306078.06,2024-03-14,2028-05-04
CMP00169,Winter Organic Boost 2023 #169,Organic,3909.56,2698.15,331509,25485,4270,563,135564.62,2022-03-24,2022-06-10
CMP00170,Q1 Events Drive 2025 #170,Events,193264.94,149853.78,373430,64360,20242,3094,26712.33,2023-03-01,2023-03-15
CMP00171,Fall Events Accelerate 2024 #171,Events,161157.39,109674.58,260883,65736,16536,5164,,2022-05-13,2022-06-12
CMP00172,Q4 Email Boost 2024 #172,Email,2111.52,1884.05,175118,3788,1508,102,29662.06,2024-10-17,2024-12-11
CMP00173,Retargeting Events Grow 2023 #173,Events,83635.13,73266.17,238054,38689,5458,1170,18204.19,2024-02-23,2024-04-25
CMP00174,Retargeting Webinar Drive 2026 #174,Webinar,10448.73,8782.27,222936,33028,7385,1116,145058.99,2022-05-30,2022-06-06
CMP00175,Launch LinkedIn Boost 2023 #175,LinkedIn,18676.54,18346.28,246163,2420,554,58,1077.16,2023-12-03,2024-02-20
CMP00176,Nurture Email Grow 2026 #176,Email,4149.11,2708.11,168283,5438,822,59,23076.86,2025-03-12,2025-04-14
CMP00177,Launch Email Engage 2025 #177,Email,13299.57,13218.16,244215,5944,1666,179,18088.87,2023-02-14,2023-03-05
CMP00178,Spring Referral Maximize 2026 #178,Referral,9760.91,8364.49,60113,4621,1155,204,12247.88,2023-10-12,2024-01-10
CMP00179,Q3 LinkedIn Drive 2026 #179,LinkedIn,45233.87,45073.83,306934,2410,678,66,583.21,2023-09-22,2023-12-01
CMP00180,Fall Email Engage 2025 #180,Email,11560.07,8282.92,451438,8898,2853,475,77557.39,2025-05-27,2025-08-21
CMP00181,Q1 Organic Boost 2024 #181,Organic,1757.0,1576.89,445171,19879,3801,397,325501.19,2024-03-24,2024-04-17
CMP00182,Winter Referral Accelerate 2026 #182,Referral,6449.06,5600.85,346524,31133,11601,4210,901343.49,2023-02-27,2023-05-02
CMP00183,Q3 Events Grow 2025 #183,Events,68623.49,59795.46,476001,123034,33236,12947,282858.11,2025-06-12,2025-08-15
CMP00184,Winter Email Scale 2025 #184,Email,5994.13,3919.75,229722,5954,1465,173,62954.75,2025-06-22,2025-09-01
CMP00185,Launch Google Ads Accelerate 2026 #185,Google Ads,16286.81,14851.52,388295,10088,1817,137,9360.28,2023-04-30,2023-06-08
CMP00186,Q2 LinkedIn Accelerate 2024 #186,LinkedIn,34037.24,30273.71,170096,1718,539,35,1420.36,2024-05-05,2024-05-20
CMP00187,Re-engagement Referral Accelerate 2024 #187,Referral,4060.88,3256.74,409364,41617,6238,1623,153461.16,2023-11-28,2024-01-04
CMP00188,Winter Email Boost 2026 #188,Email,12123.36,10674.63,218008,4583,871,109,3452.85,2025-01-02,2025-02-23
CMP00189,Spring Webinar Maximize 2026 #189,Webinar,4509.04,3766.92,255388,35155,9634,2810,428365.72,2024-09-17,2024-11-14
CMP00190,Q3 Referral Convert 2023 #190,Referral,2379.14,1646.26,434808,50306,5377,1636,1394863.5,2025-08-12,2025-10-31
CMP00191,Winter Referral Convert 2023 #191,Referral,1103.35,759.57,89216,10689,4212,1185,572764.81,2023-11-10,2024-01-10
CMP00192,Q1 Webinar Scale 2023 #192,Webinar,21216.47,16221.76,278793,40869,8578,2362,157687.11,2022-01-20,2022-03-09
CMP00193,Nurture Webinar Convert 2026 #193,Webinar,19069.31,15198.54,469062,53966,13750,2705,199178.56,2022-11-26,2022-12-26
CMP00194,Q3 LinkedIn Convert 2026 #194,LinkedIn,15965.7,10248.98,487111,2920,906,103,4812.88,2023-01-19,2023-03-06
CMP00195,Launch Events Boost 2025 #195,Events,104441.14,64420.24,107108,15059,5657,1306,21658.33,2024-09-21,2024-11-20
CMP00196,Fall Webinar Grow 2026 #196,Webinar,7949.78,6106.87,322881,39319,13792,2949,240783.98,2022-06-14,2022-07-16
CMP00197,Q1 Email Drive 2026 #197,Email,12908.99,9166.29,393223,9995,3536,504,69096.79,2023-06-24,2023-07-19
CMP00198,Q3 LinkedIn Scale 2026 #198,LinkedIn,39216.29,31083.12,209434,2171,642,32,,2025-09-23,2025-10-30
CMP00199,ABM Google Ads Scale 2024 #199,Google Ads,17046.23,10967.07,188464,4712,1433,174,15474.42,2024-03-28,2024-06-18
CMP00200,Winter Email Convert 2026 #200,Email,9488.69,6328.3,167515,3547,598,72,3614.52,2024-12-21,2025-01-02
CMP00201,Fall Email Accelerate 2024 #201,Email,6276.09,4673.5,175496,4419,1474,209,37003.38,2023-10-25,2023-11-29
CMP00202,Nurture Google Ads Maximize 2025 #202,Google Ads,59232.02,40603.19,36791,962,138,14,76.85,2025-12-11,2026-01-30
CMP00203,Nurture Webinar Grow 2024 #203,Webinar,12024.67,8196.1,360642,39847,5449,669,28132.05,2023-03-19,2023-05-03
CMP00204,Fall Organic Convert 2024 #204,Organic,1130.79,771.27,128145,8527,2797,433,653930.51,2022-12-09,2023-01-01
CMP00205,Q2 Google Ads Convert 2025 #205,Google Ads,33264.24,24744.62,469220,14771,4517,274,11765.35,2022-09-24,2022-11-29
