account_id,company_name,industry,company_size,employee_count,annual_revenue,country,state,city,account_status,account_owner,customer_since,last_activity
ACC000064,Rodriguez-Walker,Healthcare,Startup,39,4730595.0,USA,California,Miami,Active,Priya Singh,2023-12-13,2026-01-21
ACC000065,Gibson LLC,E-Commerce,Enterprise,5007,5302426953.0,Singapore,Singapore,Singapore,Inactive,Arjun Verma,2023-06-23,2024-06-12
ACC000066,"Chandler, Nielsen and Smith",Manufacturing,Small Business,134,25987814.0,Germany,Berlin,Munich,Active,Arjun Verma,May 01 2024,2025-09-02
ACC000067,Sanchez-Roberts,Energy,Startup,29,1080695.0,Canada,Ontario,Vancouver,Active,John Miller,2021-07-19,2021-08-25
ACC000068,"Bishop, Larsen and Gonzalez",Energy,Small Business,238,9185975.0,India,Karnataka,Delhi,Active,David Wilson,2024-05-18,2024-06-01
ACC000069,Jackson LLC,Manufacturing,Small Business,193,33792993.0,Canada,British Columbia,Vancouver,Active,John Miller,2024-09-29,2025-02-17
ACC000070,"Allison, Young and Thompson",Energy,Enterprise,4381,2850581338.0,India,Tamil Nadu,Bengaluru,Active,David Wilson,2024-03-16,2024-04-06
ACC000071,Singleton-Fritz,Retail,Startup,32,4158020.0,UK,Scotland,Edinburgh,Active,Priya Singh,2021-11-27,2025-07-18
ACC000072,Walters Inc,Energy,Mid Market,751,446472212.0,Germany,,Munich,Active,Meera Nair,2023-02-04,2024-03-28
ACC000073,Gonzalez Group,Manufacturing,Startup,34,1051362.0,India,Karnataka,Delhi,Active,Sarah Johnson,2025-01-31,2026-04-03
ACC000074,Marquez-Duke,Retail,Small Business,244,9022275.0,USA,Florida,Austin,Active,Arjun Verma,2022-10-24,2023-09-09
ACC000075,Buchanan Ltd,Retail,Small Business,153,19975822.0,UK,Scotland,London,Active,John Miller,2023-02-02,2023-10-31
ACC000076,Dougherty-Hunt,Education,Startup,10,916689.0,Germany,Bavaria,Berlin,Active,John Miller,2023-01-03,2025-07-13
ACC000077,Coleman Inc,E-Commerce,Startup,48,673291.0,Germany,Berlin,Munich,Active,Sneha Reddy,2023-11-22,2026-05-06
ACC000078,Walton Inc,E-Commerce,Startup,32,1561690.0,UK,Scotland,Edinburgh,Active,Rahul Sharma,2023-09-06,2023-09-15
ACC000079,"Thomas, Bowers and Livingston",Energy,Small Business,56,23193942.0,India,Karnataka,Hyderabad,Active,Priya Singh,2024-09-20,2024-11-13
ACC000080,Lyons LLC,Manufacturing,Mid Market,692,131018372.0,India,Andhra Pradesh,Mumbai,Inactive,Rahul Sharma,2024-11-30,2025-05-11
ACC000081,Lewis LLC,Telecommunications,Small Business,79,45831333.0,Germany,Bavaria,Munich,Active,John Miller,2025-03-05,2025-06-20
ACC000082,Fisher-Pierce,IT Services,Mid Market,878,234792346.0,UK,England,Edinburgh,Inactive,Rahul Sharma,2022-10-11,2023-07-30
ACC000083,"Thomas, Sandoval and Graves",Telecommunications,Enterprise,1417,6141330238.0,Germany,Berlin,Munich,Active,David Wilson,2025-05-12,2026-05-25
ACC000084,Jacobs Inc,Energy,Startup,38,1865302.0,UK,England,Edinburgh,Active,Arjun Verma,2023-06-10,2025-12-15
ACC000085,Mckee-White,Energy,Small Business,150,21268767.0,Germany,Bavaria,Munich,Active,David Wilson,2024-03-14,2025-07-04
ACC000086,Wilcox-Brown,Logistics,Small Business,121,5007324.0,USA,California,New York,Active,John Miller,2024-08-06,2026-04-02
ACC000087,Farrell-Mueller,Manufacturing,Enterprise,1783,669872620.0,USA,Florida,Austin,Active,Sarah Johnson,Jan 13 2023,2023-03-15
ACC000088,Brown and Sons,Retail,Mid Market,620,274314013.0,USA,New York,Austin,Active,Sarah Johnson,2024-08-27,2025-01-01
ACC000089,"Larson, Melton and Saunders",Logistics,Startup,17,4535531.0,Germany,Berlin,Berlin,Inactive,David Wilson,2023-02-11,2025-03-12
ACC000090,May LLC,Manufacturing,Enterprise,6122,6544426634.0,Canada,British Columbia,Vancouver,Active,David Wilson,2025-05-09,2025-09-13
ACC000091,Hernandez LLC,IT Services,Small Business,128,33011315.0,USA,Texas,New York,Active,Arjun Verma,2023-06-22,2025-04-17
ACC000092,Snyder Ltd,Education,Mid Market,896,168079453.0,UK,England,London,Active,Arjun Verma,2023-11-04,2024-03-26
ACC000093,Hayes Ltd,Finance,Small Business,155,21253097.0,USA,New York,Miami,Active,Arjun Verma,2023-07-01,2023-12-28
ACC000094,"Dickson, Hansen and White",IT Services,Small Business,159,21937348.0,Germany,Bavaria,Munich,Active,Priya Singh,2022-12-10,2023-12-13
ACC000095,Lee-Nguyen,Energy,Small Business,186,5875961.0,UK,England,Edinburgh,Active,Arjun Verma,2025-03-10,2026-01-11
ACC000096,Stanley-Murray,E-Commerce,Small Business,111,32255975.0,India,Delhi,Hyderabad,Active,David Wilson,2022-02-22,2022-08-09
ACC000097,Allen-Martinez,Education,Startup,47,3028456.0,Singapore,Singapore,Singapore,Active,Arjun Verma,2024-06-03,2025-06-18
ACC000098,Williams Ltd,Education,Startup,12,2840426.0,UK,Scotland,Edinburgh,Active,Rahul Sharma,2024-12-03,2026-02-20
ACC000099,Edwards-Hartman,E-Commerce,Enterprise,4182,9489109426.0,Singapore,,Singapore,Active,David Wilson,2024-03-18,2026-06-22
ACC000100,"Reese, Wright and Fitzgerald",IT Services,Small Business,245,26691109.0,UK,England,Edinburgh,Active,Rahul Sharma,2022-09-12,2023-05-06
ACC000101,Ramirez-Browning,Healthcare,Small Business,73,28101287.0,USA,Florida,Austin,Active,David Wilson,2021-12-13,2024-04-13
ACC000102,Perry Inc,IT Services,Enterprise,1902,9795103279.0,USA,,New York,Active,Arjun Verma,2024-02-14,2026-01-09
ACC000103,Wright PLC,Manufacturing,Small Business,212,45713727.0,UK,England,London,Active,Arjun Verma,2025-02-21,2025-04-18
ACC000104,"Baldwin, Young and Thomas",E-Commerce,Small Business,245,27720216.0,Canada,British Columbia,Toronto,Inactive,Sneha Reddy,12/12/2022,2025-04-21
ACC000105,Williams-Flowers,Retail,Startup,48,3152290.0,Singapore,Singapore,Singapore,Active,Sneha Reddy,2023-06-28,2025-02-04
ACC000106,Scott-Cunningham,IT Services,Small Business,124,29119420.0,UK,England,London,Active,John Miller,2023-07-11,2023-08-10
ACC000107,Garrett LLC,Manufacturing,Mid Market,521,309918069.0,Canada,British Columbia,Vancouver,Active,Priya Singh,2025-07-03,2026-03-13
ACC000108,Wright-Allen,Energy,Startup,38,1069876.0,Canada,British Columbia,Vancouver,Active,Rahul Sharma,2024-09-05,2025-06-14
ACC000109,Flores-Williams,Retail,Enterprise,3603,765869352.0,India,Delhi,Kochi,Active,Meera Nair,2023-04-08,2024-09-29
ACC000110,Kennedy-Hodge,Finance,Small Business,66,34151388.0,Singapore,Singapore,Singapore,Active,Sarah Johnson,2021-12-26,2023-04-20
ACC000111,Porter and Sons,Manufacturing,Startup,46,4498001.0,India,Karnataka,Chennai,Inactive,Meera Nair,2025-05-18,2026-02-20
ACC000112,"Cobb, Armstrong and Malone",Telecommunications,Mid Market,431,340403549.0,United States,British Columbia,Vancouver,Active,Rahul Sharma,2023-03-20,2026-02-16
ACC000113,"Jones, Collins and Moore",Telecommunications,Enterprise,9912,5490317058.0,UK,England,London,Active,John Miller,2023-07-23,2023-09-28
ACC000114,Cox LLC,E-Commerce,Small Business,225,12042535.0,India,Tamil Nadu,Kochi,Inactive,Priya Singh,2024-02-19,2025-02-08
ACC000115,"Carney, Gonzalez and Miller",Energy,Mid Market,916,65410299.0,Germany,Berlin,Berlin,Active,Priya Singh,2023-03-10,2023-08-09
ACC000116,Morrison-Odonnell,Logistics,Mid Market,994,409913508.0,USA,California,Miami,Active,Arjun Verma,2024-01-31,2025-06-12
ACC000117,Reyes-Martin,Education,Small Business,75,23605538.0,India,Kerala,Delhi,Active,Priya Singh,2024-12-22,2025-10-17
ACC000118,Vasquez-Heath,IT Services,Small Business,221,37853230.0,USA,Texas,San Francisco,Active,Sarah Johnson,2025-04-26,2026-02-18
ACC000119,Black-Johnson,Telecommunications,Startup,15,3673917.0,Canada,British Columbia,Toronto,Active,Priya Singh,2024-05-04,2026-04-13
ACC000120,Hunt Ltd,E-Commerce,Small Business,156,17431126.0,Germany,Bavaria,Munich,Active,John Miller,2023-10-29,2026-07-05
ACC000121,Willis-Sanders,Healthcare,Startup,41,3668365.0,UK,England,London,Active,Sneha Reddy,2025-06-01,2025-11-14
ACC000122,"Morris, Tanner and Peterson",Healthcare,Startup,48,4071345.0,India,Andhra Pradesh,Hyderabad,Active,Sneha Reddy,2022-02-14,2022-12-17
ACC000123,Hernandez Ltd,E-Commerce,Small Business,157,36827331.0,USA,Florida,New York,Active,Meera Nair,2024-04-16,2024-05-27
ACC000124,Moore-Malone,Retail,Small Business,219,40048536.0,USA,Florida,Austin,Active,Priya Singh,2025-02-25,2025-07-19
ACC000125,"Mitchell, Ochoa and Ward",Telecommunications,Small Business,222,45227103.0,UK,England,Edinburgh,Active,Rahul Sharma,2023-07-26,2026-03-09
ACC000126,Frey Group,Retail,Startup,10,1132831.0,USA,New York,Miami,Inactive,Sarah Johnson,2023-10-22,2026-01-25
ACC000127,Campbell-Smith,IT Services,Startup,17,3909783.0,UK,Scotland,London,Active,Rahul Sharma,2021-11-28,2024-02-21
ACC000128,Cobb-Hines,Logistics,Startup,39,2883915.0,Germany,Bavaria,Munich,Active,Sneha Reddy,2024-06-26,2025-07-29
ACC000129,"Holmes, Jenkins and Horn",Telecommunications,Small Business,114,6292106.0,Germany,Berlin,Berlin,Active,Arjun Verma,2022-04-03,2025-05-14
ACC000130,"Morales, Finley and Shannon",Manufacturing,Small Business,137,29629853.0,USA,New York,Austin,Active,John Miller,2023-11-09,2026-03-03
ACC000131,"Hayes, Mitchell and Myers",IT Services,Mid Market,554,157573357.0,Singapore,Singapore,Singapore,Active,Priya Singh,2023-04-08,2025-02-05
ACC000132,Welch-Anderson,Retail,Enterprise,9284,8091491764.0,Germany,Bavaria,Munich,Active,Arjun Verma,2022-11-26,2024-12-31
ACC000133,"Dorsey, Stephens and Gonzales",Finance,Enterprise,3803,2201841733.0,Germany,Bavaria,Munich,Inactive,Meera Nair,2021-11-17,2023-03-04
ACC000134,Davis and Sons,Logistics,Small Business,98,38082987.0,Singapore,Singapore,Singapore,Active,Meera Nair,2024-03-25,2026-03-13
ACC000135,Foley-Rosario,Retail,Mid Market,549,288136346.0,USA,New York,Austin,Active,David Wilson,2021-10-29,2026-06-09
ACC000136,Bryan and Sons,Retail,Mid Market,897,288168806.0,Canada,British Columbia,Vancouver,Inactive,David Wilson,2024-02-04,2025-01-28
ACC000137,Grant PLC,Finance,Small Business,191,21064666.0,USA,New York,Miami,Active,Arjun Verma,2022-07-08,2022-12-20
ACC000138,"Orozco, Hernandez and Owen",Manufacturing,Small Business,173,42668786.0,India,Karnataka,Delhi,Active,John Miller,2024-07-22,2025-09-14
ACC000139,York-Cortez,Healthcare,Small Business,204,7518664.0,USA,New York,Austin,Inactive,Rahul Sharma,2023-10-22,2024-04-24
ACC000140,Garcia Group,Energy,Mid Market,393,465364854.0,India,Maharashtra,Chennai,Active,Priya Singh,2023-07-22,2023-10-15
ACC000141,"Chung, Carr and Ramirez",Healthcare,Mid Market,489,208561362.0,USA,Texas,New York,Active,Priya Singh,2022-01-21,2022-04-15
ACC000142,"Murphy, Clark and Hines",Telecommunications,Small Business,163,28685401.0,Germany,Bavaria,Berlin,Active,David Wilson,2024-02-18,2026-03-14
ACC000143,Thomas LLC,Logistics,Mid Market,795,76832776.0,Canada,Ontario,Vancouver,Active,Sarah Johnson,2022-09-04,2026-02-06
ACC000144,Bennett-Schmitt,Energy,Small Business,110,32236840.0,Singapore,Singapore,Singapore,Active,Arjun Verma,2022-07-09,2024-11-28
ACC000145,Chandler LLC,Education,Small Business,133,40422463.0,USA,California,San Francisco,Active,Meera Nair,2021-09-25,2023-03-15
ACC000146,Bennett and Sons,Healthcare,Small Business,66,31987634.0,Canada,Ontario,Vancouver,Active,John Miller,2021-11-17,2026-04-29
ACC000147,"Lopez, Stone and Blair",Education,Small Business,192,12163015.0,U.S.A.,Karnataka,Bengaluru,Active,Arjun Verma,2023-04-12,2024-07-21
ACC000148,Bradley and Sons,Healthcare,Mid Market,997,365228372.0,USA,Texas,Miami,Active,David Wilson,2022-07-27,2025-05-16
ACC000149,"Allen, Navarro and Brown",IT Services,Small Business,67,30357631.0,Canada,British Columbia,Toronto,Active,Meera Nair,2023-03-22,2025-03-31
ACC000150,Abbott-Velazquez,Education,Startup,14,3181661.0,Canada,Ontario,Vancouver,Active,Priya Singh,2023-05-12,2023-11-09
ACC000151,"Jones, Padilla and Prince",Energy,Mid Market,782,76863787.0,Singapore,Singapore,Singapore,Active,Meera Nair,2021-12-20,2026-04-05
ACC000152,Humphrey-Humphrey,Retail,Small Business,240,15030912.0,USA,Florida,Miami,Active,Arjun Verma,2024-12-12,2025-09-27
ACC000153,Simpson PLC,E-Commerce,Small Business,223,30646852.0,Canada,Ontario,Vancouver,Active,Meera Nair,2022-10-14,2023-11-10
ACC000154,"Mccann, Grant and Collier",Logistics,Enterprise,5689,3952351222.0,Singapore,Singapore,Singapore,Active,Sarah Johnson,2021-09-29,2023-10-03
ACC000155,May Ltd,E-Commerce,Mid Market,389,310702217.0,Germany,Berlin,Berlin,Active,Priya Singh,2022-05-12,2024-06-10
ACC000156,Turner and Sons,IT Services,Startup,11,4331351.0,Canada,British Columbia,Toronto,Active,Rahul Sharma,2022-01-06,2025-01-19
ACC000157,Bruce Ltd,Healthcare,Startup,42,635130.0,India,Telangana,Hyderabad,Active,Meera Nair,2021-07-06,2026-01-18
ACC000158,Davis and Sons,Finance,Mid Market,314,343429617.0,Canada,British Columbia,Toronto,Active,David Wilson,2022-07-14,2025-02-10
ACC000159,Martin-Warren,IT Services,Mid Market,772,482523690.0,Canada,British Columbia,Vancouver,Active,Arjun Verma,2022-03-26,2025-10-20
ACC000160,Mclaughlin-Smith,Finance,Mid Market,520,402335574.0,India,Tamil Nadu,Mumbai,Active,Arjun Verma,2025-01-21,2025-12-24
ACC000161,Martinez Ltd,IT Services,Small Business,72,49260751.0,India,Kerala,Chennai,Inactive,Priya Singh,2024-10-25,2025-09-04
ACC000162,"Chavez, Green and Davies",Energy,Small Business,179,8867808.0,UK,Scotland,London,Active,Meera Nair,2024-12-16,2026-01-26
ACC000163,Gray Inc,Telecommunications,Mid Market,453,338714523.0,Canada,British Columbia,Vancouver,Active,John Miller,2024-11-17,2025-09-18
ACC000164,"Rice, Rodriguez and Barton",Finance,Small Business,242,13207442.0,Singapore,Singapore,Singapore,Active,Meera Nair,2023-10-26,2026-05-13
ACC000165,"Kennedy, Stone and Garcia",Manufacturing,Startup,47,653163.0,Canada,Ontario,Vancouver,Active,Sneha Reddy,2024-03-25,2025-06-11
ACC000166,"Morris, Lawrence and Rodriguez",Education,Startup,35,2085777.0,UK,England,London,Active,Arjun Verma,27/10/2021,2023-06-04
ACC000167,Tran Inc,Education,Small Business,223,28197046.0,US,Florida,Miami,Active,John Miller,2021-10-26,2025-05-04
ACC000168,Whitehead-Mcgee,Retail,Startup,11,2462019.0,USA,New York,Miami,Active,Rahul Sharma,2021-09-19,2023-02-22
ACC000169,Leonard PLC,Healthcare,Small Business,142,42990790.0,Canada,Ontario,Toronto,Active,Sarah Johnson,2024-04-06,2025-01-18
ACC000170,Rush Inc,Energy,Small Business,124,20129001.0,USA,Texas,Austin,Active,Sarah Johnson,2025-02-09,2026-05-29
ACC000171,Cooper Group,Telecommunications,Mid Market,593,55573819.0,India,Kerala,Mumbai,Active,Rahul Sharma,2023-12-07,2024-07-05
ACC000172,"Foster, Gonzalez and Mccarthy",Healthcare,Startup,16,534347.0,Canada,Ontario,Toronto,Active,David Wilson,2023-05-19,2024-01-21
ACC000173,King Ltd,Retail,Mid Market,970,338916242.0,U.S.A.,Scotland,London,Active,John Miller,2022-12-15,2023-06-01
ACC000174,Hill Inc,Logistics,Small Business,219,34920232.0,India,Delhi,Bengaluru,Active,Sneha Reddy,2024-03-13,2025-06-05
ACC000175,"Carrillo, Alexander and Robinson",Finance,Enterprise,6356,9615484786.0,UK,Scotland,London,Active,David Wilson,2022-10-10,2025-03-14
ACC000176,"Perez, Miller and Braun",E-Commerce,Enterprise,7469,8342284924.0,USA,New York,Miami,Active,Rahul Sharma,2024-08-21,2026-01-02
ACC000177,Becker-Gray,Healthcare,Mid Market,622,107752460.0,Singapore,Singapore,Singapore,Active,Sarah Johnson,2024-08-22,2026-04-01
ACC000178,White-Perez,Finance,Mid Market,705,446796321.0,Singapore,,Singapore,Active,Rahul Sharma,2024-04-24,2024-09-17
ACC000179,"Pittman, Smith and Moyer",Manufacturing,Mid Market,496,,Singapore,Singapore,Singapore,Active,John Miller,2022-01-23,2026-03-02
ACC000180,Rodriguez LLC,IT Services,Mid Market,562,476098894.0,USA,Florida,Miami,Active,John Miller,2024-10-01,2024-10-07
ACC000181,Ramos LLC,Retail,Mid Market,381,307393767.0,Singapore,,Singapore,Active,Sneha Reddy,2025-03-26,2025-09-29
ACC000182,Thomas-Swanson,Telecommunications,Mid Market,749,216198250.0,Germany,Berlin,Munich,Active,Arjun Verma,2024-03-31,2024-08-22
ACC000183,Gates-Archer,Manufacturing,Small Business,69,29779654.0,India,Telangana,Vijayawada,Active,Meera Nair,2024-06-23,2025-11-01
ACC000184,Flores and Sons,Manufacturing,Mid Market,661,459492255.0,India,,Kochi,Active,Sneha Reddy,2021-08-22,2021-12-17
ACC000185,"Gibson, Harrison and Wilson",E-Commerce,Enterprise,4969,7506081329.0,USA,Florida,Miami,Inactive,Meera Nair,2023-09-14,2025-06-18
ACC000186,"Kramer, Spence and Green",E-Commerce,Small Business,115,33067854.0,Germany,Berlin,Munich,Active,Arjun Verma,2022-08-29,2024-09-11
ACC000187,"Lee, Combs and Phillips",Energy,Small Business,140,20037433.0,Canada,British Columbia,Vancouver,Active,Arjun Verma,2024-01-06,2024-04-13
ACC000188,"Smith, Williams and Monroe",Logistics,Mid Market,385,321308662.0,India,Maharashtra,Kochi,Active,David Wilson,2023-02-13,2025-11-17
ACC000189,"Higgins, Sanchez and Snyder",Manufacturing,Small Business,55,22378546.0,USA,Florida,Miami,Active,David Wilson,2025-05-10,2026-07-03
ACC000190,"Smith, Flores and Buck",IT Services,Startup,42,4814313.0,Canada,Ontario,Toronto,Active,John Miller,2021-11-26,2022-06-23
ACC000191,"Kelly, Miller and Guerrero",Logistics,Enterprise,4210,854332668.0,UK,England,London,Inactive,David Wilson,2021-10-29,2022-12-22
